word,frequency,vowel_count,rare_letter_count,has_duplicates,difficulty
mulla,1.66e-07,2,0,True,Hard
paled,1.91e-07,2,0,False,Hard
kneed,2.75e-07,2,1,True,Hard
fibre,4.68e-06,2,0,False,Hard
ptish,0.0,1,0,False,Hard
redan,4.57e-08,2,0,False,Hard
exode,0.0,3,1,True,Hard
zorro,5.62e-07,2,1,True,Hard
droll,3.8e-07,1,0,True,Hard
niece,6.61e-06,3,0,True,Hard
segno,2.82e-08,2,0,False,Hard
sceat,0.0,2,0,False,Hard
tunes,6.61e-06,2,0,False,Hard
mompe,0.0,2,0,True,Hard
radon,7.76e-07,2,0,False,Hard
akkas,0.0,2,2,True,Hard
jowly,2.88e-08,1,1,False,Hard
gandy,3.02e-07,1,0,False,Hard
medii,2.57e-08,3,0,True,Hard
knelt,6.31e-07,1,1,False,Hard
evoke,1.86e-06,3,1,True,Hard
lowts,0.0,1,0,False,Hard
teaks,0.0,2,1,False,Hard
bucko,1.48e-07,2,1,False,Hard
groks,0.0,1,1,False,Hard
leafy,2e-06,2,0,False,Hard
meses,3.24e-08,2,0,True,Hard
synes,0.0,1,0,True,Hard
laths,2.09e-08,1,0,False,Hard
zedas,0.0,2,1,False,Hard
blank,1.38e-05,1,1,False,Medium
japed,0.0,2,1,False,Hard
voled,0.0,2,0,False,Hard
toxic,1.74e-05,2,1,False,Medium
reach,8.71e-05,2,0,False,Medium
nazzy,0.0,1,2,True,Hard
pubsy,0.0,1,0,False,Hard
pedro,5.62e-06,2,0,False,Hard
cucks,1.66e-07,1,1,True,Hard
baith,2.19e-08,2,0,False,Hard
magas,6.03e-08,2,0,True,Hard
gompa,4.47e-08,2,0,False,Hard
bilby,8.91e-08,1,0,True,Hard
popes,1.2e-06,2,0,True,Hard
hents,0.0,1,0,False,Hard
auras,2.34e-07,3,0,True,Hard
giddy,1.66e-06,1,0,True,Hard
tacos,2.69e-06,2,0,False,Hard
onned,0.0,2,0,True,Hard
bowed,2.14e-06,2,0,False,Hard
tsars,1.66e-07,1,0,True,Hard
slogs,3.63e-08,1,0,True,Hard
grind,8.71e-06,1,0,False,Hard
morel,4.17e-07,2,0,False,Hard
asada,4.68e-07,3,0,True,Hard
weeke,3.8e-08,3,1,True,Hard
winna,2.69e-08,2,0,True,Hard
amman,1.2e-06,2,0,True,Hard
sabji,1.05e-08,2,1,False,Hard
runts,6.17e-08,1,0,False,Hard
slops,7.24e-08,1,0,True,Hard
tread,3.31e-06,2,0,False,Hard
loofa,2.95e-08,3,0,True,Hard
fever,1.66e-05,2,0,True,Medium
glove,5.37e-06,2,0,False,Hard
trist,1.07e-07,1,0,True,Hard
creps,1.62e-08,1,0,False,Hard
pheon,0.0,2,0,False,Hard
beres,5.89e-08,2,0,True,Hard
corso,5.25e-07,2,0,True,Hard
sofar,7.94e-08,2,0,False,Hard
reeze,0.0,3,1,True,Hard
pisos,0.0,2,0,True,Hard
lames,1.23e-07,2,0,False,Hard
treck,2.51e-08,1,1,False,Hard
boabs,0.0,2,0,True,Hard
apply,6.46e-05,1,0,True,Medium
grata,2.82e-07,2,0,True,Hard
daals,0.0,2,0,True,Hard
soyas,0.0,2,0,True,Hard
amour,1.07e-06,3,0,False,Hard
gerne,1.91e-08,2,0,True,Hard
dudes,8.91e-06,2,0,True,Hard
nifle,0.0,2,0,False,Hard
again,0.000501,3,0,True,Easy
slurp,3.63e-07,1,0,False,Hard
ulnar,2.45e-07,2,0,False,Hard
ettin,1.23e-08,2,0,True,Hard
noles,7.94e-08,2,0,False,Hard
gobar,2.95e-08,2,0,False,Hard
bohos,0.0,2,0,True,Hard
kawas,1.55e-08,2,1,True,Hard
radgy,0.0,1,0,False,Hard
coati,3.8e-08,3,0,False,Hard
scail,0.0,2,0,False,Hard
helot,2e-08,2,0,False,Hard
motel,4.07e-06,2,0,False,Hard
tides,2.95e-06,2,0,False,Hard
coven,1e-06,2,0,False,Hard
jasey,0.0,2,1,False,Hard
flown,6.76e-06,1,0,False,Hard
urubu,0.0,3,0,True,Hard
kiddo,1.66e-06,2,1,True,Hard
nrtya,0.0,1,0,False,Hard
pinna,1.26e-07,2,0,True,Hard
curbs,6.03e-07,1,0,False,Hard
botas,3.63e-08,2,0,False,Hard
cycle,3.98e-05,1,0,True,Medium
yugas,2.24e-08,2,0,False,Hard
ugali,2.69e-08,3,0,False,Hard
opter,0.0,2,0,False,Hard
laver,3.63e-07,2,0,False,Hard
ousts,6.31e-08,2,0,True,Hard
ootid,0.0,3,0,True,Hard
easel,4.79e-07,3,0,True,Hard
lewis,3.02e-05,2,0,False,Medium
renos,6.03e-08,2,0,False,Hard
paned,9.12e-08,2,0,False,Hard
cunit,0.0,2,0,False,Hard
muils,0.0,2,0,False,Hard
jehus,0.0,2,1,False,Hard
ebike,6.46e-08,3,1,True,Hard
cotch,2.29e-08,1,0,True,Hard
upper,5.25e-05,2,0,True,Medium
theor,5.25e-08,2,0,False,Hard
unais,0.0,3,0,False,Hard
idiot,2.45e-05,3,0,True,Medium
manes,2.69e-07,2,0,False,Hard
sawer,3.55e-08,2,0,False,Hard
gazoo,5.75e-08,3,1,True,Hard
edged,3.55e-06,2,0,True,Hard
pikey,6.92e-08,2,1,False,Hard
meech,1.82e-07,2,0,True,Hard
adyts,0.0,1,0,False,Hard
boite,6.76e-08,3,0,False,Hard
ixias,0.0,3,1,True,Hard
alios,1.58e-08,3,0,False,Hard
padle,0.0,2,0,False,Hard
lotah,0.0,2,0,False,Hard
ragas,7.24e-08,2,0,True,Hard
pudus,0.0,2,0,True,Hard
meare,1.41e-08,3,0,True,Hard
graip,0.0,2,0,False,Hard
quack,1.15e-06,2,2,False,Hard
noise,3.55e-05,3,0,False,Medium
livre,2.69e-07,2,0,False,Hard
pheme,1.17e-08,2,0,True,Hard
chest,3.31e-05,1,0,False,Medium
lined,1.2e-05,2,0,False,Medium
azlon,0.0,2,1,False,Hard
waves,2.34e-05,2,0,False,Medium
achoo,5.01e-08,3,0,True,Hard
valve,1.35e-05,2,0,True,Medium
mawks,0.0,1,1,False,Hard
hydro,4.27e-06,1,0,False,Hard
muxed,0.0,2,1,False,Hard
etude,3.72e-07,3,0,True,Hard
smith,7.76e-05,1,0,False,Medium
